Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.22,..,..,..,..,0.33,..,..,..,..,0.39,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.77,..,..,..,..,5.84,..,..,..,..,5.59,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.46,..,..,..,..,0.44,..,..,..,..,0.63,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.54,..,..,..,..,8.22,..,..,..,..,8.37,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.97,..,..,..,..,8.13,..,..,..,..,8.28,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,9.41,..,..,..,..,9.57,..,..,..,..,10.32,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.18,..,..,..,..,7.43,..,..,..,..,7.57,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.15,..,..,..,..,1.66,..,..,..,..,2.35,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.2,..,..,..,..,4.01,..,..,..,..,3.5,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,8.86,..,..,..,..,8.66,..,..,..,..,8.58,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.24,..,..,..,..,9.3,..,..,..,..,7.74,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.87,..,..,..,..,9.26,..,..,..,..,10.78,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.34,..,..,..,..,0.55,..,..,..,..,0.68,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,9.3,..,..,..,..,4.73,..,..,..,..,2.63,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.96,..,..,..,..,2.59,..,..,..,..,3.06,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.81,..,..,..,..,2.89,..,..,..,..,4.01,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.05,..,..,..,..,2.91,..,..,..,..,3.41,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.89,..,..,..,..,7.65,..,..,..,..,10.26,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.27,..,..,..,..,0.38,..,..,..,..,0.65,..,..,..,..,..,..,..,..,..,..
